graph_type,cap_type,n,d,hi,seed,m,median_time,flow,graph_file
erdag,int,1000,32,2047,0,15872,0.00546340000000000,32739,erdag_n1000_p0_0320_d32_hi2047_seed0.max
erdag,int,1000,32,2047,1,15913,0.00485740000000000,23177,erdag_n1000_p0_0320_d32_hi2047_seed1.max
erdag,int,1000,32,2047,2,15903,0.00639990000000000,21120,erdag_n1000_p0_0320_d32_hi2047_seed2.max
erdag,int,1000,32,4095,0,15973,0.00307530000000000,31009,erdag_n1000_p0_0320_d32_hi4095_seed0.max
erdag,int,1000,32,4095,1,15975,0.00322100000000000,26495,erdag_n1000_p0_0320_d32_hi4095_seed1.max
erdag,int,1000,32,4095,2,16039,0.00553620000000000,56233,erdag_n1000_p0_0320_d32_hi4095_seed2.max
erdag,int,1000,64,255,0,31985,0.01728780000000000,9994,erdag_n1000_p0_0641_d64_hi255_seed0.max
erdag,int,1000,64,255,1,32115,0.01876060000000000,9587,erdag_n1000_p0_0641_d64_hi255_seed1.max
erdag,int,1000,64,255,2,31899,0.02208020000000000,10137,erdag_n1000_p0_0641_d64_hi255_seed2.max
erdag,int,1000,64,511,0,32006,0.01254620000000000,13229,erdag_n1000_p0_0641_d64_hi511_seed0.max
erdag,int,1000,64,511,1,31926,0.01286430000000000,14388,erdag_n1000_p0_0641_d64_hi511_seed1.max
erdag,int,1000,64,511,2,31846,0.01698530000000000,14143,erdag_n1000_p0_0641_d64_hi511_seed2.max
erdag,int,1000,64,1023,0,31919,0.01721600000000000,34385,erdag_n1000_p0_0641_d64_hi1023_seed0.max
erdag,int,1000,64,1023,1,31926,0.01080020000000000,25209,erdag_n1000_p0_0641_d64_hi1023_seed1.max
erdag,int,1000,64,1023,2,32138,0.01743930000000000,37810,erdag_n1000_p0_0641_d64_hi1023_seed2.max
erdag,int,1000,64,2047,0,31883,0.02209730000000000,63073,erdag_n1000_p0_0641_d64_hi2047_seed0.max
erdag,int,1000,64,2047,1,31821,0.01236690000000000,56556,erdag_n1000_p0_0641_d64_hi2047_seed1.max
erdag,int,1000,64,2047,2,31744,0.00979510000000000,43369,erdag_n1000_p0_0641_d64_hi2047_seed2.max
erdag,int,1000,64,4095,0,32187,0.01823980000000000,109908,erdag_n1000_p0_0641_d64_hi4095_seed0.max
erdag,int,1000,64,4095,1,31893,0.01670850000000000,95679,erdag_n1000_p0_0641_d64_hi4095_seed1.max
erdag,int,1000,64,4095,2,32281,0.02728380000000000,137763,erdag_n1000_p0_0641_d64_hi4095_seed2.max
erdag,irrational,1000,4,1023,0,1885,0.00020030000000000,0.000000,erdag_n1000_p0_0040_d4_hi1023_seed0.max
erdag,irrational,1000,4,1023,1,1997,0.00022270000000000,0.000000,erdag_n1000_p0_0040_d4_hi1023_seed1.max
erdag,irrational,1000,4,1023,2,2040,0.00023500000000000,0.000000,erdag_n1000_p0_0040_d4_hi1023_seed2.max
erdag,irrational,1000,8,1023,0,3931,0.00042340000000000,0.990686,erdag_n1000_p0_0080_d8_hi1023_seed0.max
erdag,irrational,1000,8,1023,1,3935,0.00041610000000000,0.723727,erdag_n1000_p0_0080_d8_hi1023_seed1.max
erdag,irrational,1000,8,1023,2,4081,0.00068310000000000,0.158384,erdag_n1000_p0_0080_d8_hi1023_seed2.max
erdag,irrational,1000,16,1023,0,8206,0.00175940000000000,182.542011,erdag_n1000_p0_0160_d16_hi1023_seed0.max
erdag,irrational,1000,16,1023,1,8019,0.00230070000000000,105.265547,erdag_n1000_p0_0160_d16_hi1023_seed1.max
erdag,irrational,1000,16,1023,2,8078,0.00283620000000000,847.475446,erdag_n1000_p0_0160_d16_hi1023_seed2.max
erdag,irrational,1000,32,1023,0,16009,0.00769980000000000,3668.661372,erdag_n1000_p0_0320_d32_hi1023_seed0.max
erdag,irrational,1000,32,1023,1,16123,0.00311250000000000,2173.177084,erdag_n1000_p0_0320_d32_hi1023_seed1.max
erdag,irrational,1000,32,1023,2,16006,0.00270610000000000,2374.439486,erdag_n1000_p0_0320_d32_hi1023_seed2.max
erdag,irrational,1000,64,1023,0,31954,0.00719310000000000,6813.381519,erdag_n1000_p0_0641_d64_hi1023_seed0.max
erdag,irrational,1000,64,1023,1,31983,0.01021860000000000,14638.357137,erdag_n1000_p0_0641_d64_hi1023_seed1.max
erdag,irrational,1000,64,1023,2,32114,0.00676540000000000,7133.174881,erdag_n1000_p0_0641_d64_hi1023_seed2.max
erdag,rational,1000,4,1023,0,1868,0.00017970000000000,0/1,erdag_n1000_p0_0040_d4_hi1023_seed0.max
erdag,rational,1000,4,1023,1,1980,0.00030660000000000,0/1,erdag_n1000_p0_0040_d4_hi1023_seed1.max
erdag,rational,1000,4,1023,2,2002,0.00022960000000000,145/8,erdag_n1000_p0_0040_d4_hi1023_seed2.max
erdag,rational,1000,8,1023,0,3983,0.00041370000000000,0/1,erdag_n1000_p0_0080_d8_hi1023_seed0.max
erdag,rational,1000,8,1023,1,3905,0.00040820000000000,36506/255,erdag_n1000_p0_0080_d8_hi1023_seed1.max
erdag,rational,1000,8,1023,2,4021,0.00048310000000000,4477/105,erdag_n1000_p0_0080_d8_hi1023_seed2.max
erdag,rational,1000,16,1023,0,8120,0.00137220000000000,5000461/7980,erdag_n1000_p0_0160_d16_hi1023_seed0.max
erdag,rational,1000,16,1023,1,8015,0.00118910000000000,484899529/755820,erdag_n1000_p0_0160_d16_hi1023_seed1.max
erdag,rational,1000,16,1023,2,8090,0.00125610000000000,847.114620,erdag_n1000_p0_0160_d16_hi1023_seed2.max
erdag,rational,1000,32,1023,0,15920,0.00555640000000000,3018.497548,erdag_n1000_p0_0320_d32_hi1023_seed0.max
erdag,rational,1000,32,1023,1,16084,0.00253890000000000,1333.063216,erdag_n1000_p0_0320_d32_hi1023_seed1.max
erdag,rational,1000,32,1023,2,16165,0.00582100000000000,178092581/82992,erdag_n1000_p0_0320_d32_hi1023_seed2.max
erdag,rational,1000,64,1023,0,32152,0.02435000000000000,23596103/4420,erdag_n1000_p0_0641_d64_hi1023_seed0.max
erdag,rational,1000,64,1023,1,32185,0.01020050000000000,4175.003860,erdag_n1000_p0_0641_d64_hi1023_seed1.max
erdag,rational,1000,64,1023,2,32092,0.01888460000000000,4712.883533,erdag_n1000_p0_0641_d64_hi1023_seed2.max
erdag,unit,1000,4,1023,0,1962,0.00017930000000000,0,erdag_n1000_p0_0040_d4_hi1023_seed0.max
erdag,unit,1000,4,1023,1,2011,0.00019110000000000,0,erdag_n1000_p0_0040_d4_hi1023_seed1.max
erdag,unit,1000,4,1023,2,2038,0.00018290000000000,1,erdag_n1000_p0_0040_d4_hi1023_seed2.max
erdag,unit,1000,8,1023,0,4067,0.00031750000000000,1,erdag_n1000_p0_0080_d8_hi1023_seed0.max
erdag,unit,1000,8,1023,1,3922,0.00045350000000000,3,erdag_n1000_p0_0080_d8_hi1023_seed1.max
erdag,unit,1000,8,1023,2,4014,0.00032600000000000,1,erdag_n1000_p0_0080_d8_hi1023_seed2.max
erdag,unit,1000,16,1023,0,8044,0.00081320000000000,13,erdag_n1000_p0_0160_d16_hi1023_seed0.max
erdag,unit,1000,16,1023,1,7990,0.00056240000000000,7,erdag_n1000_p0_0160_d16_hi1023_seed1.max
erdag,unit,1000,16,1023,2,8082,0.00060730000000000,5,erdag_n1000_p0_0160_d16_hi1023_seed2.max
erdag,unit,1000,32,1023,0,15987,0.00235250000000000,25,erdag_n1000_p0_0320_d32_hi1023_seed0.max
erdag,unit,1000,32,1023,1,16109,0.00157690000000000,21,erdag_n1000_p0_0320_d32_hi1023_seed1.max
erdag,unit,1000,32,1023,2,16050,0.00152600000000000,19,erdag_n1000_p0_0320_d32_hi1023_seed2.max
erdag,unit,1000,64,1023,0,31889,0.00710950000000000,55,erdag_n1000_p0_0641_d64_hi1023_seed0.max
erdag,unit,1000,64,1023,1,31862,0.00603960000000000,40,erdag_n1000_p0_0641_d64_hi1023_seed1.max
erdag,unit,1000,64,1023,2,32231,0.00712260000000000,57,erdag_n1000_p0_0641_d64_hi1023_seed2.max
grid,int,250,250,255,0,445,0.00006290000000000,416,grid_n250_rows5_n250_hi255_seed0.max
grid,int,250,250,255,1,445,0.00004620000000000,271,grid_n250_rows5_n250_hi255_seed1.max
grid,int,250,250,255,2,445,0.00008980000000000,413,grid_n250_rows5_n250_hi255_seed2.max
grid,int,250,250,511,0,445,0.00009600000000000,410,grid_n250_rows5_n250_hi511_seed0.max
grid,int,250,250,511,1,445,0.00009480000000000,730,grid_n250_rows5_n250_hi511_seed1.max
grid,int,250,250,511,2,445,0.00007560000000000,392,grid_n250_rows5_n250_hi511_seed2.max
grid,int,250,250,1023,0,445,0.00006410000000000,795,grid_n250_rows5_n250_hi1023_seed0.max
grid,int,250,250,1023,1,445,0.00006270000000000,826,grid_n250_rows5_n250_hi1023_seed1.max
grid,int,250,250,1023,2,445,0.00006530000000000,830,grid_n250_rows5_n250_hi1023_seed2.max
grid,int,250,250,2047,0,445,0.00004760000000000,586,grid_n250_rows5_n250_hi2047_seed0.max
grid,int,250,250,2047,1,445,0.00005810000000000,1054,grid_n250_rows5_n250_hi2047_seed1.max
grid,int,250,250,2047,2,445,0.00005080000000000,1134,grid_n250_rows5_n250_hi2047_seed2.max
grid,int,250,250,4095,0,445,0.00006400000000000,1578,grid_n250_rows5_n250_hi4095_seed0.max
grid,int,250,250,4095,1,445,0.00006330000000000,1694,grid_n250_rows5_n250_hi4095_seed1.max
grid,int,250,250,4095,2,445,0.00006430000000000,2263,grid_n250_rows5_n250_hi4095_seed2.max
grid,int,500,500,255,0,895,0.00016350000000000,368,grid_n500_rows5_n500_hi255_seed0.max
grid,int,500,500,255,1,895,0.00018440000000000,328,grid_n500_rows5_n500_hi255_seed1.max
grid,int,500,500,255,2,895,0.00013740000000000,275,grid_n500_rows5_n500_hi255_seed2.max
grid,int,500,500,511,0,895,0.00026080000000000,511,grid_n500_rows5_n500_hi511_seed0.max
grid,int,500,500,511,1,895,0.00012590000000000,439,grid_n500_rows5_n500_hi511_seed1.max
grid,int,500,500,511,2,895,0.00015890000000000,704,grid_n500_rows5_n500_hi511_seed2.max
grid,int,500,500,1023,0,895,0.00014500000000000,708,grid_n500_rows5_n500_hi1023_seed0.max
grid,int,500,500,1023,1,895,0.00014680000000000,749,grid_n500_rows5_n500_hi1023_seed1.max
grid,int,500,500,1023,2,895,0.00014000000000000,737,grid_n500_rows5_n500_hi1023_seed2.max
grid,int,500,500,2047,0,895,0.00022170000000000,860,grid_n500_rows5_n500_hi2047_seed0.max
grid,int,500,500,2047,1,895,0.00012580000000000,942,grid_n500_rows5_n500_hi2047_seed1.max
grid,int,500,500,2047,2,895,0.00021840000000000,431,grid_n500_rows5_n500_hi2047_seed2.max
grid,int,500,500,4095,0,895,0.00024140000000000,1041,grid_n500_rows5_n500_hi4095_seed0.max
grid,int,500,500,4095,1,895,0.00012610000000000,1266,grid_n500_rows5_n500_hi4095_seed1.max
grid,int,500,500,4095,2,895,0.00013010000000000,982,grid_n500_rows5_n500_hi4095_seed2.max
grid,int,1000,1000,255,0,1795,0.00029220000000000,379,grid_n1000_rows5_n1000_hi255_seed0.max
grid,int,1000,1000,255,1,1795,0.00027900000000000,349,grid_n1000_rows5_n1000_hi255_seed1.max
grid,int,1000,1000,255,2,1795,0.00024690000000000,322,grid_n1000_rows5_n1000_hi255_seed2.max
grid,int,1000,1000,511,0,1795,0.00025730000000000,494,grid_n1000_rows5_n1000_hi511_seed0.max
grid,int,1000,1000,511,1,1795,0.00034250000000000,621,grid_n1000_rows5_n1000_hi511_seed1.max
grid,int,1000,1000,511,2,1795,0.00030600000000000,505,grid_n1000_rows5_n1000_hi511_seed2.max
grid,int,1000,1000,1023,0,1795,0.00045710000000000,699,grid_n1000_rows5_n1000_hi1023_seed0.max
grid,int,1000,1000,1023,1,1795,0.00027480000000000,686,grid_n1000_rows5_n1000_hi1023_seed1.max
grid,int,1000,1000,1023,2,1795,0.00023570000000000,392,grid_n1000_rows5_n1000_hi1023_seed2.max
grid,int,1000,1000,2047,0,1795,0.00028580000000000,732,grid_n1000_rows5_n1000_hi2047_seed0.max
grid,int,1000,1000,2047,1,1795,0.00032070000000000,708,grid_n1000_rows5_n1000_hi2047_seed1.max
grid,int,1000,1000,2047,2,1795,0.00027950000000000,780,grid_n1000_rows5_n1000_hi2047_seed2.max
grid,int,1000,1000,4095,0,1795,0.00043020000000000,772,grid_n1000_rows5_n1000_hi4095_seed0.max
grid,int,1000,1000,4095,1,1795,0.00028480000000000,1071,grid_n1000_rows5_n1000_hi4095_seed1.max
grid,int,1000,1000,4095,2,1795,0.00028070000000000,753,grid_n1000_rows5_n1000_hi4095_seed2.max
grid,int,2000,2000,255,0,3595,0.00058960000000000,271,grid_n2000_rows5_n2000_hi255_seed0.max
grid,int,2000,2000,255,1,3595,0.00071330000000000,343,grid_n2000_rows5_n2000_hi255_seed1.max
grid,int,2000,2000,255,2,3595,0.00065310000000000,352,grid_n2000_rows5_n2000_hi255_seed2.max
grid,int,2000,2000,511,0,3595,0.00057280000000000,371,grid_n2000_rows5_n2000_hi511_seed0.max
grid,int,2000,2000,511,1,3595,0.00052440000000000,446,grid_n2000_rows5_n2000_hi511_seed1.max
grid,int,2000,2000,511,2,3595,0.00073430000000000,525,grid_n2000_rows5_n2000_hi511_seed2.max
grid,int,2000,2000,1023,0,3595,0.00087580000000000,646,grid_n2000_rows5_n2000_hi1023_seed0.max
grid,int,2000,2000,1023,1,3595,0.00071980000000000,668,grid_n2000_rows5_n2000_hi1023_seed1.max
grid,int,2000,2000,1023,2,3595,0.00066430000000000,656,grid_n2000_rows5_n2000_hi1023_seed2.max
grid,int,2000,2000,2047,0,3595,0.00070640000000000,687,grid_n2000_rows5_n2000_hi2047_seed0.max
grid,int,2000,2000,2047,1,3595,0.00051590000000000,653,grid_n2000_rows5_n2000_hi2047_seed1.max
grid,int,2000,2000,2047,2,3595,0.00054380000000000,666,grid_n2000_rows5_n2000_hi2047_seed2.max
grid,int,2000,2000,4095,0,3595,0.00094500000000000,840,grid_n2000_rows5_n2000_hi4095_seed0.max
grid,int,2000,2000,4095,1,3595,0.00075100000000000,708,grid_n2000_rows5_n2000_hi4095_seed1.max
grid,int,2000,2000,4095,2,3595,0.00061960000000000,671,grid_n2000_rows5_n2000_hi4095_seed2.max
grid,int,4000,4000,255,0,7195,0.00120270000000000,331,grid_n4000_rows5_n4000_hi255_seed0.max
grid,int,4000,4000,255,1,7195,0.00150090000000000,363,grid_n4000_rows5_n4000_hi255_seed1.max
grid,int,4000,4000,255,2,7195,0.00096110000000000,280,grid_n4000_rows5_n4000_hi255_seed2.max
grid,int,4000,4000,511,0,7195,0.00104560000000000,449,grid_n4000_rows5_n4000_hi511_seed0.max
grid,int,4000,4000,511,1,7195,0.00165010000000000,634,grid_n4000_rows5_n4000_hi511_seed1.max
grid,int,4000,4000,511,2,7195,0.00126980000000000,335,grid_n4000_rows5_n4000_hi511_seed2.max
grid,int,4000,4000,1023,0,7195,0.00205700000000000,638,grid_n4000_rows5_n4000_hi1023_seed0.max
grid,int,4000,4000,1023,1,7195,0.00195680000000000,646,grid_n4000_rows5_n4000_hi1023_seed1.max
