graph_type,cap_type,n,d,hi,seed,m,median_time,flow,graph_file
erdag,unit,500,0.0200,-1,1,2495,0.00026530000000000,6,erdag_n500_p0_0200_seed1.max
erdag,unit,500,0.0200,-1,2,2494,0.00024420000000000,4,erdag_n500_p0_0200_seed2.max
erdag,unit,1000,0.0200,-1,0,10003,0.00088610000000000,8,erdag_n1000_p0_0200_seed0.max
erdag,unit,1000,0.0200,-1,1,9931,0.00072820000000000,15,erdag_n1000_p0_0200_seed1.max
erdag,unit,1000,0.0200,-1,2,10258,0.00086040000000000,16,erdag_n1000_p0_0200_seed2.max
erdag,unit,2000,0.0200,-1,0,39913,0.00280980000000000,17,erdag_n2000_p0_0200_seed0.max
erdag,unit,2000,0.0200,-1,1,40323,0.00506150000000000,25,erdag_n2000_p0_0200_seed1.max
erdag,unit,2000,0.0200,-1,2,39546,0.00203250000000000,33,erdag_n2000_p0_0200_seed2.max
erdag,unit,4000,0.0200,-1,0,159929,0.01583680000000000,72,erdag_n4000_p0_0200_seed0.max
erdag,unit,4000,0.0200,-1,1,159525,0.01620650000000000,76,erdag_n4000_p0_0200_seed1.max
erdag,unit,4000,0.0200,-1,2,158716,0.02015450000000000,61,erdag_n4000_p0_0200_seed2.max
grid,int,250,5,-1,0,445,0.00009680000000000,613,grid_n250_rows5_seed0.max
grid,int,250,5,-1,1,445,0.00013140000000000,511,grid_n250_rows5_seed1.max
grid,int,250,5,-1,2,445,0.00011880000000000,783,grid_n250_rows5_seed2.max
grid,int,500,5,-1,0,895,0.00018600000000000,304,grid_n500_rows5_seed0.max
grid,int,500,5,-1,1,895,0.00051620000000000,709,grid_n500_rows5_seed1.max
grid,int,500,5,-1,2,895,0.00034930000000000,702,grid_n500_rows5_seed2.max
grid,int,1000,5,-1,0,1795,0.00156870000000000,688,grid_n1000_rows5_seed0.max
grid,int,1000,5,-1,1,1795,0.00123660000000000,742,grid_n1000_rows5_seed1.max
grid,int,1000,5,-1,2,1795,0.00184900000000000,694,grid_n1000_rows5_seed2.max
grid,int,2000,5,-1,0,3595,0.00441800000000000,654,grid_n2000_rows5_seed0.max
grid,int,2000,5,-1,1,3595,0.00370090000000000,655,grid_n2000_rows5_seed1.max
grid,int,2000,5,-1,2,3595,0.00281810000000000,514,grid_n2000_rows5_seed2.max
grid,int,4000,5,-1,0,7195,0.01386480000000000,639,grid_n4000_rows5_seed0.max
grid,int,4000,5,-1,1,7195,0.02105750000000000,649,grid_n4000_rows5_seed1.max
grid,int,4000,5,-1,2,7195,0.01700650000000000,641,grid_n4000_rows5_seed2.max
grid,irrational,250,5,-1,0,445,0.00013950000000000,0.521338,grid_n250_rows5_seed0.max
grid,irrational,250,5,-1,1,445,0.00018420000000000,0.640477,grid_n250_rows5_seed1.max
grid,irrational,250,5,-1,2,445,0.00012090000000000,0.480259,grid_n250_rows5_seed2.max
grid,irrational,500,5,-1,0,895,0.00048300000000000,0.398173,grid_n500_rows5_seed0.max
grid,irrational,500,5,-1,1,895,0.00051070000000000,0.475452,grid_n500_rows5_seed1.max
grid,irrational,500,5,-1,2,895,0.00040710000000000,0.357989,grid_n500_rows5_seed2.max
grid,irrational,1000,5,-1,0,1795,0.00112520000000000,0.367407,grid_n1000_rows5_seed0.max
grid,irrational,1000,5,-1,1,1795,0.00151250000000000,0.360617,grid_n1000_rows5_seed1.max
grid,irrational,1000,5,-1,2,1795,0.00127520000000000,0.334208,grid_n1000_rows5_seed2.max
grid,irrational,2000,5,-1,0,3595,0.00441900000000000,0.348345,grid_n2000_rows5_seed0.max
grid,irrational,2000,5,-1,1,3595,0.00843720000000000,0.343195,grid_n2000_rows5_seed1.max
grid,irrational,2000,5,-1,2,3595,0.00388220000000000,0.323127,grid_n2000_rows5_seed2.max
grid,irrational,4000,5,-1,0,7195,0.02455060000000000,0.317845,grid_n4000_rows5_seed0.max
grid,irrational,4000,5,-1,1,7195,0.01324080000000000,0.320919,grid_n4000_rows5_seed1.max
grid,irrational,4000,5,-1,2,7195,0.01580840000000000,0.327996,grid_n4000_rows5_seed2.max
grid,rational,250,5,-1,0,445,0.00011900000000000,61219/1020,grid_n250_rows5_seed0.max
grid,rational,250,5,-1,1,445,0.00009740000000000,4661/88,grid_n250_rows5_seed1.max
grid,rational,250,5,-1,2,445,0.00015330000000000,1571309/21420,grid_n250_rows5_seed2.max
grid,rational,500,5,-1,0,895,0.00033720000000000,18269/342,grid_n500_rows5_seed0.max
grid,rational,500,5,-1,1,895,0.00035090000000000,29071/570,grid_n500_rows5_seed1.max
grid,rational,500,5,-1,2,895,0.00030930000000000,2297/45,grid_n500_rows5_seed2.max
grid,rational,1000,5,-1,0,1795,0.00113770000000000,280859/6460,grid_n1000_rows5_seed0.max
grid,rational,1000,5,-1,1,1795,0.00115850000000000,2259161/58140,grid_n1000_rows5_seed1.max
grid,rational,1000,5,-1,2,1795,0.00192110000000000,5303/126,grid_n1000_rows5_seed2.max
grid,rational,2000,5,-1,0,3595,0.00509810000000000,759869/17680,grid_n2000_rows5_seed0.max
grid,rational,2000,5,-1,1,3595,0.00313040000000000,11251/272,grid_n2000_rows5_seed1.max
grid,rational,2000,5,-1,2,3595,0.00472580000000000,403/15,grid_n2000_rows5_seed2.max
grid,rational,4000,5,-1,0,7195,0.01011800000000000,713/20,grid_n4000_rows5_seed0.max
grid,rational,4000,5,-1,1,7195,0.03107120000000000,227907/6460,grid_n4000_rows5_seed1.max
grid,rational,4000,5,-1,2,7195,0.01709950000000000,33094/855,grid_n4000_rows5_seed2.max
grid,unit,250,5,-1,0,445,0.00005830000000000,2,grid_n250_rows5_seed0.max
grid,unit,250,5,-1,1,445,0.00006470000000000,2,grid_n250_rows5_seed1.max
grid,unit,250,5,-1,2,445,0.00011500000000000,2,grid_n250_rows5_seed2.max
grid,unit,500,5,-1,0,895,0.00012700000000000,2,grid_n500_rows5_seed0.max
grid,unit,500,5,-1,1,895,0.00012950000000000,2,grid_n500_rows5_seed1.max
grid,unit,500,5,-1,2,895,0.00019710000000000,2,grid_n500_rows5_seed2.max
grid,unit,1000,5,-1,0,1795,0.00032600000000000,2,grid_n1000_rows5_seed0.max
grid,unit,1000,5,-1,1,1795,0.00025910000000000,2,grid_n1000_rows5_seed1.max
grid,unit,1000,5,-1,2,1795,0.00038210000000000,2,grid_n1000_rows5_seed2.max
grid,unit,2000,5,-1,0,3595,0.00049470000000000,2,grid_n2000_rows5_seed0.max
grid,unit,2000,5,-1,1,3595,0.00065980000000000,2,grid_n2000_rows5_seed1.max
grid,unit,2000,5,-1,2,3595,0.00078440000000000,2,grid_n2000_rows5_seed2.max
grid,unit,4000,5,-1,0,7195,0.00108210000000000,2,grid_n4000_rows5_seed0.max
grid,unit,4000,5,-1,1,7195,0.00101490000000000,2,grid_n4000_rows5_seed1.max
grid,unit,4000,5,-1,2,7195,0.00117430000000000,2,grid_n4000_rows5_seed2.max
layered,int,250,6,-1,0,2062,0.00014400000000000,3889,layered_n250_d6_seed0.max
layered,int,250,6,-1,1,2056,0.00016460000000000,5159,layered_n250_d6_seed1.max
layered,int,250,6,-1,2,2065,0.00013640000000000,5190,layered_n250_d6_seed2.max
layered,int,500,6,-1,0,3888,0.00027150000000000,3788,layered_n500_d6_seed0.max
layered,int,500,6,-1,1,3882,0.00026970000000000,4750,layered_n500_d6_seed1.max
layered,int,500,6,-1,2,3875,0.00025330000000000,3541,layered_n500_d6_seed2.max
layered,int,1000,6,-1,0,8466,0.00084180000000000,4504,layered_n1000_d6_seed0.max
layered,int,1000,6,-1,1,8476,0.00060950000000000,5159,layered_n1000_d6_seed1.max
layered,int,1000,6,-1,2,8487,0.00065130000000000,6862,layered_n1000_d6_seed2.max
layered,int,2000,6,-1,0,16978,0.00129850000000000,4211,layered_n2000_d6_seed0.max
layered,int,2000,6,-1,1,16962,0.00142420000000000,5481,layered_n2000_d6_seed1.max
layered,int,2000,6,-1,2,16965,0.00125010000000000,4037,layered_n2000_d6_seed2.max
layered,int,4000,6,-1,0,34351,0.00283350000000000,4387,layered_n4000_d6_seed0.max
layered,int,4000,6,-1,1,34320,0.00264130000000000,4878,layered_n4000_d6_seed1.max
layered,int,4000,6,-1,2,34363,0.00291930000000000,5508,layered_n4000_d6_seed2.max
layered,irrational,250,6,-1,0,2059,0.00019900000000000,810.525552,layered_n250_d6_seed0.max
layered,irrational,250,6,-1,1,2066,0.00021850000000000,2521.588557,layered_n250_d6_seed1.max
layered,irrational,250,6,-1,2,2073,0.00037630000000000,2246.421956,layered_n250_d6_seed2.max
layered,irrational,500,6,-1,0,3867,0.00044720000000000,3804.055303,layered_n500_d6_seed0.max
layered,irrational,500,6,-1,1,3894,0.00045260000000000,1655.617583,layered_n500_d6_seed1.max
layered,irrational,500,6,-1,2,3891,0.00036570000000000,2071.040481,layered_n500_d6_seed2.max
layered,irrational,1000,6,-1,0,8465,0.00066100000000000,2206.514756,layered_n1000_d6_seed0.max
layered,irrational,1000,6,-1,1,8460,0.00093200000000000,2521.588557,layered_n1000_d6_seed1.max
layered,irrational,1000,6,-1,2,8486,0.00082250000000000,2020.968126,layered_n1000_d6_seed2.max
layered,irrational,2000,6,-1,0,16942,0.00154290000000000,3804.055303,layered_n2000_d6_seed0.max
layered,irrational,2000,6,-1,1,16957,0.00131140000000000,1655.617583,layered_n2000_d6_seed1.max
layered,irrational,2000,6,-1,2,16962,0.00135380000000000,2476.657532,layered_n2000_d6_seed2.max
layered,irrational,4000,6,-1,0,34356,0.00329040000000000,2628.348261,layered_n4000_d6_seed0.max
layered,irrational,4000,6,-1,1,34349,0.00293000000000000,2521.588557,layered_n4000_d6_seed1.max
layered,irrational,4000,6,-1,2,34384,0.00294520000000000,2020.968126,layered_n4000_d6_seed2.max
layered,rational,250,6,-1,0,2058,0.00015630000000000,919229/1530,layered_n250_d6_seed0.max
layered,rational,250,6,-1,1,2060,0.00032740000000000,12471067/10868,layered_n250_d6_seed1.max
layered,rational,250,6,-1,2,2047,0.00013530000000000,407005/714,layered_n250_d6_seed2.max
layered,rational,500,6,-1,0,3881,0.00025950000000000,466873/765,layered_n500_d6_seed0.max
layered,rational,500,6,-1,1,3873,0.00029530000000000,67143/40,layered_n500_d6_seed1.max
layered,rational,500,6,-1,2,3878,0.00042400000000000,18760913/41990,layered_n500_d6_seed2.max
layered,rational,1000,6,-1,0,8453,0.00073430000000000,530683/765,layered_n1000_d6_seed0.max
layered,rational,1000,6,-1,1,8476,0.00065720000000000,1786.010707,layered_n1000_d6_seed1.max
layered,rational,1000,6,-1,2,8473,0.00080500000000000,13317883/8840,layered_n1000_d6_seed2.max
layered,rational,2000,6,-1,0,16936,0.00130810000000000,10791737/10710,layered_n2000_d6_seed0.max
layered,rational,2000,6,-1,1,16961,0.00133540000000000,1673.463257,layered_n2000_d6_seed1.max
layered,rational,2000,6,-1,2,16993,0.00146820000000000,164369/221,layered_n2000_d6_seed2.max
layered,rational,4000,6,-1,0,34361,0.00258420000000000,530683/765,layered_n4000_d6_seed0.max
layered,rational,4000,6,-1,1,34380,0.00299690000000000,2723627/1560,layered_n4000_d6_seed1.max
layered,rational,4000,6,-1,2,34358,0.00279240000000000,425236/255,layered_n4000_d6_seed2.max
layered,unit,250,6,-1,0,2061,0.00014000000000000,8,layered_n250_d6_seed0.max
layered,unit,250,6,-1,1,2055,0.00024080000000000,9,layered_n250_d6_seed1.max
layered,unit,250,6,-1,2,2058,0.00013820000000000,8,layered_n250_d6_seed2.max
layered,unit,500,6,-1,0,3880,0.00027790000000000,9,layered_n500_d6_seed0.max
layered,unit,500,6,-1,1,3877,0.00034340000000000,9,layered_n500_d6_seed1.max
layered,unit,500,6,-1,2,3856,0.00029190000000000,8,layered_n500_d6_seed2.max
layered,unit,1000,6,-1,0,8476,0.00059210000000000,9,layered_n1000_d6_seed0.max
layered,unit,1000,6,-1,1,8470,0.00062640000000000,9,layered_n1000_d6_seed1.max
layered,unit,1000,6,-1,2,8483,0.00063050000000000,9,layered_n1000_d6_seed2.max
layered,unit,2000,6,-1,0,16932,0.00136920000000000,9,layered_n2000_d6_seed0.max
layered,unit,2000,6,-1,1,16966,0.00123810000000000,9,layered_n2000_d6_seed1.max
layered,unit,2000,6,-1,2,16962,0.00130270000000000,9,layered_n2000_d6_seed2.max
layered,unit,4000,6,-1,0,34352,0.00290530000000000,9,layered_n4000_d6_seed0.max
layered,unit,4000,6,-1,1,34357,0.00253270000000000,9,layered_n4000_d6_seed1.max
layered,unit,4000,6,-1,2,34386,0.00260110000000000,9,layered_n4000_d6_seed2.max
