graph_type,cap_type,n,d,mean_time,min_time,max_time,count
erdag,int,20,0.0400,0.15664660000000000,0.13166549999999999,0.19311980000000001,3
erdag,int,20,0.0800,0.28835790000000000,0.23970440000000001,0.35553630000000003,3
erdag,int,20,0.1600,0.74808609999999998,0.67882160000000002,0.82457910000000001,3
erdag,int,20,0.3200,1.97604243333333329,1.44035059999999993,2.78623010000000004,3
erdag,int,20,0.6400,10.50326349999999920,10.23017199999999960,10.98406029999999944,3
erdag,unit,20,0.0400,0.01316636666666667,0.01193080000000000,0.01476170000000000,3
erdag,unit,20,0.0800,0.03261303333333333,0.02120480000000000,0.04817190000000000,3
erdag,unit,20,0.1600,0.06725683333333334,0.04349550000000000,0.07993770000000000,3
erdag,unit,20,0.3200,0.28885686666666666,0.17593680000000000,0.38305519999999998,3
erdag,unit,20,0.6400,1.57995186666666654,1.43463819999999997,1.86257779999999995,3
grid,int,10,5,0.19588220000000001,0.17792040000000001,0.22204340000000000,3
grid,int,20,5,1.17580459999999998,1.08250950000000001,1.25901039999999997,3
grid,int,40,5,6.49581236666666673,5.84627870000000005,6.95712039999999998,3
grid,int,5,5,0.03342703333333333,0.02786900000000000,0.03878740000000000,3
grid,int,80,5,32.02738303333332937,27.43613870000000077,35.12433269999999652,3
grid,unit,10,5,0.02061216666666667,0.02021850000000000,0.02110600000000000,3
grid,unit,20,5,0.09307536666666667,0.09091490000000001,0.09476080000000001,3
grid,unit,40,5,0.51359500000000002,0.50503439999999999,0.51803149999999998,3
grid,unit,5,5,0.00125713333333333,0.00112280000000000,0.00132770000000000,3
grid,unit,80,5,2.70155600000000007,2.67275239999999981,2.73417170000000009,3
layered,int,10,16,0.33971143333333331,0.32509250000000001,0.35231930000000000,3
layered,int,10,32,0.34657810000000000,0.32619440000000000,0.36937039999999999,3
layered,int,10,4,0.34347800000000001,0.33256300000000000,0.35583949999999998,3
layered,int,10,64,0.34228933333333333,0.32334010000000002,0.35557139999999998,3
layered,int,10,8,0.34141670000000002,0.32784600000000003,0.35856389999999999,3
layered,unit,10,16,0.02560080000000000,0.02492600000000000,0.02631820000000000,3
layered,unit,10,32,0.02544303333333333,0.02465370000000000,0.02648790000000000,3
layered,unit,10,4,0.02567933333333334,0.02528700000000000,0.02598340000000000,3
layered,unit,10,64,0.02551360000000000,0.02488970000000000,0.02588850000000000,3
layered,unit,10,8,0.02512000000000000,0.02442020000000000,0.02557200000000000,3
